item,iata,label,countryLabel
http://www.wikidata.org/entity/Q642313,DZA,Dzaoudzi Pamandzi International Airport,France
http://www.wikidata.org/entity/Q156971,EAP,EuroAirport Basel-Mulhouse-Freiburg,France
http://www.wikidata.org/entity/Q156971,EAP,EuroAirport Basel-Mulhouse-Freiburg,Germany
http://www.wikidata.org/entity/Q607230,ECN,Ercan International Airport,Northern Cyprus
http://www.wikidata.org/entity/Q607230,ECN,Ercan International Airport,Cyprus
http://www.wikidata.org/entity/Q8716,EDI,Edinburgh Airport,United Kingdom
http://www.wikidata.org/entity/Q1364927,EFL,Kefalonia International Airport,Greece
http://www.wikidata.org/entity/Q1348234,EIN,Eindhoven Airport,Netherlands
http://www.wikidata.org/entity/Q7703252,EIS,Terrance B. Lettsome International Airport,United Kingdom
http://www.wikidata.org/entity/Q8977,EMA,East Midlands Airport,United Kingdom
http://www.wikidata.org/entity/Q430490,ESB,Ankara Esenboğa Airport,Turkey
http://www.wikidata.org/entity/Q2479758,EUX,F.D. Roosevelt Airport,Netherlands
http://www.wikidata.org/entity/Q8999,EXT,Exeter Airport,United Kingdom
http://www.wikidata.org/entity/Q371471,FAE,Vágar Airport,Faroe Islands
http://www.wikidata.org/entity/Q667001,FAO,Faro Airport,Portugal
http://www.wikidata.org/entity/Q76269,FBU,Oslo Airport,Norway
http://www.wikidata.org/entity/Q19101,FCO,Roma Fiumicino Airport,Italy
http://www.wikidata.org/entity/Q651330,FDF,Martinique Aimé Césaire International Airport,France
http://www.wikidata.org/entity/Q707731,FLR,Florence Peretola Airport,Italy
http://www.wikidata.org/entity/Q639161,FNC,Madeira Cristiano-Ronaldo Airport,Portugal
http://www.wikidata.org/entity/Q46033,FRA,Frankfurt Airport,Germany
http://www.wikidata.org/entity/Q942017,FRL,Forlì Airport,Italy
http://www.wikidata.org/entity/Q1431349,FUE,Fuerteventura Airport,Spain
http://www.wikidata.org/entity/Q665948,GCM,Owen Roberts International Airport,United Kingdom
http://www.wikidata.org/entity/Q779984,GDN,Gdańsk Lech Wałęsa Airport,Poland
http://www.wikidata.org/entity/Q2902808,GDT,JAGS McCartney International Airport,United Kingdom
http://www.wikidata.org/entity/Q501083,GIB,Gibraltar International Airport,United Kingdom
http://www.wikidata.org/entity/Q8721,GLA,Glasgow Airport,United Kingdom
http://www.wikidata.org/entity/Q27049,GNA,Hrodna Airport,Belarus
http://www.wikidata.org/entity/Q1432178,GOJ,Nizhny Novgorod International Airport,Russia
http://www.wikidata.org/entity/Q1137115,GOT,Gothenburg-Landvetter Airport,Sweden
http://www.wikidata.org/entity/Q1431412,GRX,Federico García Lorca Granada Airport,Spain
http://www.wikidata.org/entity/Q178162,GRZ,Graz Airport,Austria
http://www.wikidata.org/entity/Q289972,GVA,Geneva International Airport,Switzerland
http://www.wikidata.org/entity/Q27706,HAM,Hamburg Airport,Germany
http://www.wikidata.org/entity/Q215327,HEL,Helsinki Airport,Finland
http://www.wikidata.org/entity/Q1142384,HER,"Heraklion International Airport ""Nikos Kazantzakis""",Greece
